timestamp,x,y,z
1563815724691391,-0.848145,-0.362793,0.416992
1563815724714348,-0.849121,-0.365234,0.415039
1563815724735373,-0.850098,-0.374512,0.415527
1563815724751325,-0.836426,-0.387207,0.413086
1563815724774312,-0.841309,-0.395996,0.418457
1563815724795301,-0.834473,-0.387207,0.414063
1563815724811351,-0.82959,-0.364258,0.410645
1563815724834276,-0.810547,-0.370117,0.387207
1563815724855265,-0.805664,-0.381836,0.387207
1563815724871298,-0.808594,-0.364258,0.396973
1563815724894243,-0.78418,-0.373047,0.39502
1563815724915291,-0.771484,-0.387695,0.410645
1563815724932226,-0.740723,-0.414063,0.435547
1563815724954216,-0.803223,-0.424316,0.444824
1563815724977196,-0.833496,-0.428711,0.415527
1563815724993187,-0.848145,-0.404785,0.400879
1563815725014175,-0.875,-0.405762,0.381836
1563815725037165,-0.863281,-0.400879,0.382813
1563815725052152,-0.848633,-0.38623,0.382813
1563815725074144,-0.803223,-0.391113,0.357422
1563815725097128,-0.842285,-0.40625,0.371582
1563815725111119,-0.729004,-0.379883,0.367188
1563815725134107,-0.812012,-0.35791,0.472656
1563815725156092,-0.726074,-0.393066,0.372559
1563815725171083,-0.76123,-0.379883,0.415527
1563815725194070,-0.81543,-0.393066,0.430664
1563815725217057,-0.82373,-0.404785,0.412598
1563815725247044,-0.828125,-0.394043,0.42334
1563815725254037,-0.830078,-0.399414,0.431641
1563815725277027,-0.832031,-0.409668,0.425293
1563815725291014,-0.830078,-0.404785,0.429199
1563815725314002,-0.819336,-0.400391,0.425781
1563815725336990,-0.81543,-0.399902,0.420898
1563815725350988,-0.810059,-0.398926,0.416504
1563815725373969,-0.804688,-0.39502,0.413086
1563815725396955,-0.796875,-0.38623,0.416016
1563815725410947,-0.797852,-0.385254,0.416992
1563815725433932,-0.799805,-0.389648,0.41748
1563815725462922,-0.801758,-0.394043,0.413574
1563815725477911,-0.804199,-0.39209,0.412598
1563815725493901,-0.806152,-0.391602,0.418945
1563815725523894,-0.817383,-0.397461,0.41748
1563815725537876,-0.818848,-0.396973,0.415527
1563815725561860,-0.821289,-0.397949,0.418457
1563815725576851,-0.815918,-0.392578,0.422852
1563815725597842,-0.812012,-0.394043,0.42627
1563815725613851,-0.814941,-0.395996,0.421875
1563815725636817,-0.812988,-0.396973,0.425781
1563815725665799,-0.808105,-0.394043,0.432129
1563815725673816,-0.80127,-0.39502,0.425293
1563815725696782,-0.797363,-0.394531,0.431641
1563815725717770,-0.805176,-0.397949,0.426758
1563815725741758,-0.806152,-0.39502,0.431641
1563815725756748,-0.803223,-0.392578,0.429688
1563815725779736,-0.815918,-0.398926,0.42041
1563815725800729,-0.808594,-0.401855,0.424805
1563815725816713,-0.811035,-0.404297,0.427246
1563815725837702,-0.811523,-0.398926,0.429199
1563815725854692,-0.81543,-0.400879,0.416016
1563815725884677,-0.807129,-0.39209,0.413574
1563815725899665,-0.800293,-0.390625,0.42041
1563815725914664,-0.798828,-0.391602,0.419434
1563815725936648,-0.790527,-0.393555,0.415527
1563815725966635,-0.783691,-0.387207,0.410645
1563815725975621,-0.77002,-0.377441,0.406738
1563815725996613,-0.754883,-0.368164,0.395996
1563815726027593,-0.734375,-0.345703,0.393555
1563815726033589,-0.673828,-0.289551,0.379395
1563815726056576,-0.571289,-0.202148,0.348633
1563815726079562,-0.47998,-0.233398,0.290039
1563815726092554,-0.600098,-0.258301,0.30957
1563815726101549,-0.577148,-0.242188,0.342773
1563815726122540,-0.50293,-0.205566,0.372559
1563815726144530,-0.447266,-0.239746,0.363281
1563815726162514,-0.523438,-0.266602,0.424316
1563815726185502,-0.519531,-0.228516,0.519043
1563815726212507,-0.421387,-0.244141,0.556152
1563815726221488,-0.431641,-0.282227,0.652344
1563815726242472,-0.438965,-0.300781,0.751953
1563815726264478,-0.353516,-0.311523,0.811523
1563815726281447,-0.27832,-0.313965,0.873047
1563815726302456,-0.208984,-0.3125,0.949707
1563815726324422,-0.148926,-0.325195,1.01611
1563815726341417,-0.139648,-0.356934,1.04443
1563815726362401,-0.0776367,-0.321289,1.05762
1563815726384409,0.00292969,-0.26416,1.06885
1563815726407392,0.065918,-0.245605,1.09375
1563815726422365,0.127441,-0.276855,1.08643
1563815726444353,0.158691,-0.265137,1.07813
1563815726467340,0.186035,-0.230469,1.0542
1563815726482331,0.229492,-0.205078,1.05518
1563815726504318,0.268555,-0.221191,1.04053
1563815726521312,0.276367,-0.214844,1.0376
1563815726543296,0.297852,-0.196289,1.0127
1563815726564314,0.308594,-0.15625,0.993164
1563815726581274,0.327148,-0.134766,0.976563
1563815726602262,0.341797,-0.141113,0.97168
1563815726633244,0.343262,-0.145996,0.966309
1563815726641240,0.347656,-0.12793,0.951172
1563815726662228,0.361816,-0.0927734,0.926758
1563815726686213,0.36084,-0.065918,0.909668
1563815726701205,0.351563,-0.0698242,0.897461
1563815726722195,0.345215,-0.0698242,0.891113
1563815726744210,0.344238,-0.0664063,0.891113
1563815726761170,0.340332,-0.0571289,0.883301
1563815726782160,0.337891,-0.0532227,0.877441
1563815726804164,0.351563,-0.0478516,0.871582
1563815726821137,0.363281,-0.0449219,0.856934
1563815726842125,0.368652,-0.0424805,0.848633
1563815726860113,0.366211,-0.0307617,0.845703
1563815726882102,0.376953,-0.0273438,0.835449
1563815726902109,0.380371,-0.0205078,0.821777
1563815726920080,0.375488,-0.00878906,0.829102
1563815726942078,0.366699,-0.0117188,0.82959
1563815726964054,0.375,-0.00830078,0.834473
1563815726980048,0.372559,-0.0112305,0.836426
1563815727003037,0.366699,-0.00830078,0.831055
1563815727022023,0.365234,-0.0151367,0.83252
1563815727040011,0.369629,-0.0195313,0.834473
1563815727062998,0.372559,-0.0161133,0.838379
1563815727089992,0.371582,-0.0219727,0.836914
1563815727099979,0.371094,-0.0200195,0.837891
1563815727128960,0.370117,-0.0205078,0.842773
1563815727141956,0.370605,-0.0219727,0.833984
1563815727159942,0.374512,-0.0214844,0.838867
1563815727182930,0.372559,-0.0224609,0.832031
1563815727201949,0.372559,-0.027832,0.839355
1563815727219910,0.371094,-0.0258789,0.838379
1563815727242897,0.369629,-0.0219727,0.835449
1563815727261885,0.359863,-0.0205078,0.830078
1563815727279874,0.371582,-0.0175781,0.834961
1563815727302861,0.368652,-0.0249023,0.83252
1563815727321858,0.365723,-0.0263672,0.834473
1563815727339841,0.366699,-0.0214844,0.827148
1563815727369823,0.370605,-0.0239258,0.832031
1563815727381825,0.377441,-0.0209961,0.833496
1563815727407801,0.377441,-0.0205078,0.839844
1563815727422793,0.376953,-0.0205078,0.833984
1563815727442782,0.375,-0.0151367,0.83252
1563815727465768,0.375977,-0.0195313,0.830566
1563815727482759,0.369629,-0.0229492,0.83252
1563815727503747,0.368164,-0.0180664,0.833008
1563815727519738,0.365723,-0.0205078,0.835938
1563815727541724,0.366699,-0.0229492,0.83252
1563815727562712,0.366211,-0.0244141,0.836426
1563815727579703,0.365723,-0.0253906,0.83252
1563815727601690,0.368164,-0.0253906,0.840332
1563815727622678,0.366699,-0.027832,0.832031
1563815727639668,0.367676,-0.0268555,0.833008
1563815727661657,0.364258,-0.0249023,0.836426
1563815727699641,0.36377,-0.0283203,0.836426
1563815727702632,0.369629,-0.0288086,0.837402
1563815727721623,0.373535,-0.0283203,0.837891
1563815727744609,0.370117,-0.0205078,0.833496
1563815727759599,0.368652,-0.0219727,0.833496
1563815727781590,0.373535,-0.03125,0.833496
1563815727804573,0.37207,-0.0263672,0.836914
1563815727819585,0.370117,-0.0283203,0.834961
1563815727841552,0.37207,-0.0244141,0.833984
1563815727864560,0.369141,-0.0234375,0.83252
1563815727879530,0.373047,-0.0288086,0.834473
1563815727901518,0.374512,-0.0288086,0.833984
1563815727924505,0.367676,-0.0263672,0.833496
1563815727938496,0.369141,-0.0249023,0.834961
1563815727962482,0.367676,-0.0249023,0.829102
1563815727984470,0.366211,-0.0234375,0.830078
1563815727998462,0.36377,-0.0263672,0.833008
1563815728022448,0.36084,-0.0317383,0.832031
1563815728044435,0.366699,-0.0263672,0.837891
1563815728058427,0.362305,-0.0283203,0.834961
1563815728081418,0.366699,-0.0268555,0.839355
1563815728104402,0.370117,-0.0234375,0.83252
1563815728118412,0.370605,-0.0244141,0.83252
1563815728141379,0.36377,-0.0268555,0.837402
1563815728164366,0.366211,-0.0268555,0.839355
1563815728186354,0.366211,-0.0249023,0.829102
1563815728201344,0.366211,-0.0214844,0.82666
1563815728224331,0.372559,-0.0258789,0.838867
1563815728239324,0.37207,-0.0288086,0.830078
1563815728261311,0.371582,-0.0253906,0.836426
1563815728284297,0.371582,-0.0253906,0.837402
1563815728305286,0.366699,-0.0200195,0.842285
1563815728321276,0.365723,-0.0234375,0.835938
1563815728351260,0.365234,-0.0268555,0.833008
1563815728365252,0.362793,-0.0229492,0.835449
1563815728381241,0.367676,-0.0224609,0.834961
1563815728404228,0.36084,-0.0244141,0.844727
1563815728434211,0.370117,-0.0292969,0.843262
1563815728441208,0.368652,-0.0249023,0.841309
1563815728464194,0.369629,-0.0234375,0.834473
1563815728485181,0.370605,-0.0229492,0.835938
1563815728502172,0.371582,-0.0224609,0.835938
1563815728524159,0.374023,-0.0249023,0.837402
1563815728545167,0.374512,-0.0249023,0.842285
1563815728562138,0.370117,-0.0239258,0.833496
1563815728584125,0.371094,-0.0175781,0.834961
1563815728605113,0.374023,-0.0209961,0.836914
1563815728622103,0.368164,-0.0224609,0.840332
1563815728644090,0.366699,-0.0219727,0.839355
1563815728665082,0.359863,-0.0283203,0.837402
1563815728682069,0.367676,-0.0297852,0.83252
1563815728704057,0.369141,-0.0263672,0.829102
1563815728725044,0.369629,-0.0283203,0.832031
1563815728742037,0.371582,-0.0263672,0.83252
1563815728764023,0.37207,-0.0185547,0.836914
1563815728794006,0.373047,-0.0229492,0.833984
1563815728802007,0.369629,-0.0239258,0.835938
1563815728823988,0.369629,-0.0268555,0.831543
1563815728846977,0.369629,-0.0273438,0.825195
1563815728861966,0.370117,-0.0307617,0.833496
1563815728883953,0.368652,-0.0249023,0.829102
1563815728906941,0.368652,-0.0292969,0.83252
1563815728920932,0.372559,-0.0258789,0.833008
1563815728943919,0.374023,-0.03125,0.828125
1563815728966909,0.373047,-0.0229492,0.836426
1563815728980898,0.372559,-0.0244141,0.834961
1563815729003885,0.369629,-0.0258789,0.832031
1563815729026871,0.374512,-0.0273438,0.835938
1563815729040866,0.371582,-0.0273438,0.832031
1563815729063851,0.376953,-0.0253906,0.836426
1563815729086838,0.370117,-0.0249023,0.828613
1563815729100830,0.371094,-0.0263672,0.836914
1563815729124818,0.369141,-0.0283203,0.833984
1563815729146836,0.364746,-0.0253906,0.836914
1563815729160801,0.370117,-0.0288086,0.82959
1563815729183809,0.36377,-0.0273438,0.832031
1563815729206771,0.37207,-0.0268555,0.839844
1563815729220760,0.367676,-0.0249023,0.830566
1563815729243751,0.369141,-0.0297852,0.835938
1563815729266734,0.366699,-0.0229492,0.836914
1563815729295716,0.369141,-0.0244141,0.835938
1563815729303713,0.370117,-0.0258789,0.834473
1563815729326699,0.372559,-0.0239258,0.82959
1563815729349686,0.374512,-0.0253906,0.832031
1563815729364679,0.374023,-0.0205078,0.833008
1563815729386666,0.373047,-0.0258789,0.831543
1563815729409652,0.37207,-0.0307617,0.830078
1563815729424643,0.365234,-0.0283203,0.831055
1563815729446631,0.368652,-0.0239258,0.83252
1563815729467618,0.373047,-0.027832,0.833496
1563815729484610,0.370605,-0.0273438,0.831543
1563815729506596,0.368164,-0.0244141,0.837402
1563815729527585,0.368652,-0.0229492,0.830078
1563815729544575,0.368164,-0.0268555,0.833496
1563815729566562,0.373047,-0.0263672,0.834961
1563815729587550,0.373535,-0.0273438,0.835449
1563815729604541,0.374512,-0.0219727,0.834961
1563815729627527,0.374023,-0.0239258,0.831543
1563815729649515,0.371094,-0.0224609,0.833496
1563815729664506,0.371582,-0.0292969,0.833496
1563815729686493,0.373047,-0.0229492,0.829102
1563815729709480,0.374023,-0.0253906,0.828613
1563815729724472,0.373047,-0.0239258,0.828125
1563815729746458,0.368164,-0.027832,0.832031
1563815729769446,0.370605,-0.0224609,0.835449
1563815729784441,0.374512,-0.0292969,0.833496
1563815729806424,0.371582,-0.0273438,0.833496
1563815729829411,0.375488,-0.0288086,0.833496
1563815729851398,0.371582,-0.0263672,0.839355
1563815729867389,0.371094,-0.027832,0.83252
1563815729889376,0.371582,-0.0307617,0.837402
1563815729904370,0.365723,-0.0288086,0.830566
1563815729926356,0.369141,-0.0288086,0.834473
1563815729949343,0.370605,-0.0292969,0.834961
1563815729963335,0.374512,-0.0288086,0.833008
1563815729986329,0.374023,-0.0239258,0.835449
1563815730015305,0.369629,-0.0307617,0.827637
1563815730023301,0.375,-0.027832,0.837402
1563815730046288,0.374512,-0.0258789,0.831543
1563815730069276,0.376953,-0.027832,0.830566
1563815730083266,0.374023,-0.027832,0.834961
1563815730106275,0.371582,-0.0268555,0.832031
1563815730129240,0.375,-0.0292969,0.833984
1563815730143239,0.374023,-0.0283203,0.83252
1563815730167221,0.373047,-0.0288086,0.830566
1563815730189205,0.374512,-0.0244141,0.828613
1563815730210253,0.375488,-0.0302734,0.832031
1563815730227185,0.369141,-0.027832,0.830566
1563815730257168,0.37207,-0.0258789,0.834473
1563815730270182,0.371582,-0.0239258,0.834961
1563815730294150,0.37793,-0.0263672,0.83252
1563815730309138,0.380371,-0.0224609,0.82959
1563815730330164,0.376465,-0.0268555,0.828613
1563815730347123,0.373047,-0.0239258,0.831055
1563815730369103,0.376465,-0.0258789,0.830566
1563815730390091,0.376465,-0.0234375,0.823242
1563815730407081,0.375,-0.0239258,0.824707
1563815730429070,0.379883,-0.0249023,0.829102
1563815730458051,0.380371,-0.0292969,0.833984
1563815730467046,0.380859,-0.0288086,0.831055
1563815730489033,0.376465,-0.0297852,0.833008
1563815730510023,0.376465,-0.0307617,0.834961
1563815730527014,0.375488,-0.034668,0.830078
1563815730548999,0.377441,-0.0297852,0.832031
1563815730569986,0.374512,-0.027832,0.828125
1563815730576982,0.370117,-0.0273438,0.834473
1563815730591974,0.370605,-0.0302734,0.842773
1563815730614980,0.368164,-0.0322266,0.844727
1563815730636948,0.368652,-0.0351563,0.84082
1563815730651940,0.370605,-0.0268555,0.84082
1563815730681921,0.365723,-0.0263672,0.836426
1563815730696917,0.370117,-0.0332031,0.84082
1563815730711924,0.370605,-0.0327148,0.841309
1563815730744886,0.376465,-0.0371094,0.84082
1563815730756898,0.372559,-0.0336914,0.835449
1563815730771890,0.378906,-0.0307617,0.833008
1563815730795859,0.380371,-0.0288086,0.834961
1563815730816891,0.378418,-0.03125,0.825195
1563815730831841,0.380371,-0.0307617,0.831055
1563815730854828,0.375977,-0.0327148,0.82666
1563815730876834,0.374023,-0.0361328,0.82373
1563815730891846,0.376953,-0.0317383,0.822754
1563815730914850,0.378906,-0.0332031,0.822754
1563815730936778,0.37207,-0.0283203,0.825684
1563815730951769,0.373535,-0.0390625,0.824219
1563815730974795,0.373535,-0.0419922,0.821777
1563815730996775,0.37793,-0.0322266,0.82959
1563815731013734,0.379395,-0.0317383,0.829102
1563815731034722,0.373535,-0.0385742,0.833008
1563815731052712,0.374512,-0.0341797,0.834961
