timestamp,roll,pitch,yaw
1564164036578992,-0.239185,0.0140058,0.722058
1564164036594463,-0.247962,0.016622,0.722754
1564164036617921,-0.256436,0.0181678,0.722111
1564164036638914,-0.257552,0.0195849,0.720648
1564164036654351,-0.249522,0.0211608,0.718706
1564164036677830,-0.240389,0.0211272,0.716543
1564164036706295,-0.239461,0.0202774,0.71465
1564164036721288,-0.245237,0.0188733,0.714512
1564164036737697,-0.250698,0.0182039,0.71371
1564164036758693,-0.252387,0.0181115,0.712221
1564164036782615,-0.25135,0.0182595,0.710345
1564164036797587,-0.251603,0.0177671,0.708833
1564164036820044,-0.252234,0.0177037,0.707551
1564164036835530,-0.252843,0.0180413,0.706333
1564164036857975,-0.254736,0.0174417,0.705432
1564164036880432,-0.257574,0.0164643,0.705017
1564164036895412,-0.259312,0.0155853,0.704401
1564164036917864,-0.258483,0.0149491,0.703941
1564164036940328,-0.257255,0.0142864,0.703312
1564164036954793,-0.258064,0.0134799,0.702934
1564164036985237,-0.260286,0.0131399,0.703054
1564164037000209,-0.262358,0.0128521,0.703045
1564164037014683,-0.26292,0.0123942,0.703005
1564164037037641,-0.262574,0.012183,0.702354
1564164037060596,-0.262199,0.0120808,0.701718
1564164037074570,-0.262566,0.0124137,0.701135
1564164037097527,-0.264054,0.0126557,0.700933
1564164037119987,-0.265308,0.0124518,0.700884
1564164037134459,-0.265431,0.0120955,0.700797
1564164037157917,-0.264602,0.012151,0.700472
1564164037179884,-0.264013,0.0123052,0.700294
1564164037194848,-0.264084,0.0128075,0.699981
1564164037217805,-0.26471,0.0128864,0.699877
1564164037240270,-0.265605,0.012955,0.699906
1564164037261225,-0.265605,0.012955,0.699906
1564164037277693,-0.265605,0.012955,0.699906
1564164037300150,-0.265562,0.0130686,0.699888
1564164037321133,-0.266825,0.012533,0.70028
1564164037338080,-0.266971,0.0124659,0.70027
1564164037360049,-0.265599,0.0129907,0.700156
1564164037388986,-0.264281,0.0130197,0.700111
1564164037397971,-0.265486,0.0126024,0.700452
1564164037420435,-0.267135,0.0120988,0.700981
1564164037441392,-0.267108,0.0118455,0.701155
1564164037457859,-0.265661,0.0118524,0.701213
1564164037480325,-0.265661,0.0118524,0.701213
1564164037501315,-0.266599,0.011808,0.701262
1564164037517748,-0.267948,0.0114083,0.701532
1564164037540712,-0.268051,0.0114549,0.701504
1564164037561171,-0.267231,0.0115407,0.701458
1564164037577644,-0.266941,0.0108993,0.701408
1564164037600106,-0.267654,0.0103894,0.701501
1564164037621557,-0.268602,0.00996283,0.701602
1564164037637526,-0.26872,0.0100045,0.701606
1564164037667479,-0.267675,0.00998643,0.701443
1564164037681465,-0.267214,0.00979935,0.701319
1564164037697914,-0.267526,0.00926259,0.701242
1564164037720372,-0.267772,0.00896345,0.701301
1564164037742837,-0.267515,0.00859082,0.701218
1564164037757809,-0.267054,0.00840379,0.701093
1564164037780272,-0.267022,0.00813498,0.701126
1564164037802718,-0.267612,0.00756791,0.701076
1564164037818189,-0.267949,0.007057,0.701313
1564164037840148,-0.267634,0.00680313,0.701179
1564164037862615,-0.266868,0.00639309,0.701202
1564164037877081,-0.266857,0.00577262,0.701567
1564164037900037,-0.267689,0.00494273,0.701828
1564164037905536,-0.268935,0.0037576,0.702313
1564164037928024,-0.269479,0.00269994,0.702754
1564164037944463,-0.270247,0.00072889,0.703595
1564164037965914,-0.27241,-0.00245359,0.705174
1564164037988383,-0.275155,-0.00634455,0.707682
1564164038004847,-0.27565,-0.00984441,0.709668
1564164038025840,-0.27055,-0.0113975,0.709201
1564164038048262,-0.263194,-0.0114163,0.706683
1564164038064732,-0.255263,-0.00878286,0.70396
1564164038085699,-0.250986,-0.00686155,0.703473
1564164038108189,-0.250183,-0.00546693,0.705494
1564164038124620,-0.249314,-0.00363956,0.70692
1564164038145619,-0.24676,-0.00137854,0.706411
1564164038169537,-0.242608,0.000674278,0.706749
1564164038183049,-0.238595,0.00220373,0.708874
1564164038205968,-0.233547,0.00326331,0.710369
1564164038228426,-0.229066,0.00591984,0.711453
1564164038242932,-0.225061,0.00936801,0.712217
1564164038265858,-0.224049,0.0128616,0.712847
1564164038288315,-0.225052,0.0162645,0.714071
1564164038304286,-0.225399,0.0196924,0.715426
1564164038325781,-0.224787,0.0235028,0.716288
1564164038348241,-0.222971,0.0277292,0.716852
1564164038364686,-0.22193,0.0316207,0.717588
1564164038385650,-0.222797,0.0353228,0.718394
1564164038408130,-0.224648,0.0395584,0.719425
1564164038424577,-0.228132,0.0429371,0.720198
1564164038450016,-0.231545,0.0468915,0.721559
1564164038468021,-0.233916,0.0508121,0.722644
1564164038484472,-0.236339,0.0542246,0.723638
1564164038505417,-0.238888,0.0569187,0.724677
1564164038528375,-0.242305,0.0587532,0.725735
1564164038544339,-0.244456,0.0607966,0.726995
1564164038565801,-0.245043,0.0627855,0.728358
1564164038588256,-0.246001,0.0644755,0.72937
1564164038604729,-0.24776,0.0658042,0.730315
1564164038625691,-0.25073,0.0673973,0.730714
1564164038648171,-0.253217,0.0688341,0.731218
1564164038666117,-0.256184,0.069061,0.732163
1564164038685617,-0.258211,0.0683008,0.733345
1564164038703544,-0.258182,0.0680469,0.733515
1564164038726501,-0.257714,0.0678871,0.733653
1564164038745465,-0.25767,0.0680002,0.733638
1564164038763432,-0.257977,0.0685779,0.73319
1564164038785889,-0.258431,0.0691044,0.732868
1564164038805853,-0.258815,0.0695062,0.732844
1564164038823322,-0.258756,0.069621,0.732797
1564164038846278,-0.258873,0.0696649,0.732798
1564164038865742,-0.258873,0.0696649,0.732798
1564164038883710,-0.259353,0.0697739,0.732265
1564164038906200,-0.259919,0.0696566,0.73176
1564164038925632,-0.260281,0.0697213,0.731226
1564164038943606,-0.260643,0.0697858,0.730691
1564164038966055,-0.261446,0.0697718,0.730333
1564164038985518,-0.261446,0.0697718,0.730333
1564164039004015,-0.261184,0.0704173,0.72996
1564164039025948,-0.261184,0.0704173,0.72996
1564164039053395,-0.261184,0.0704173,0.72996
1564164039063382,-0.26114,0.0705304,0.729946
1564164039086339,-0.261258,0.0705742,0.729947
1564164039105802,-0.261258,0.0705742,0.729947
1564164039129753,-0.261258,0.0705742,0.729947
1564164039146254,-0.261376,0.070618,0.729948
1564164039165685,-0.261227,0.0706527,0.72968
1564164039183652,-0.261227,0.0706527,0.72968
1564164039206117,-0.261227,0.0706527,0.72968
1564164039227086,-0.261826,0.0704722,0.729586
1564164039243542,-0.261944,0.070516,0.729587
1564164039266003,-0.261474,0.0706894,0.729287
1564164039286483,-0.261474,0.0706894,0.729287
1564164039303430,-0.262104,0.0707787,0.729165
1564164039331878,-0.262102,0.0707622,0.729023
1564164039346385,-0.26188,0.0706401,0.728768
1564164039362827,-0.261837,0.0707532,0.728753
1564164039385276,-0.261837,0.0707532,0.728753
1564164039406277,-0.262008,0.0706328,0.728374
1564164039422707,-0.262693,0.0702257,0.728309
1564164039445174,-0.262693,0.0702257,0.728309
1564164039466165,-0.26265,0.0703388,0.728294
1564164039482596,-0.26277,0.070399,0.728438
1564164039505062,-0.262727,0.0705121,0.728424
1564164039526524,-0.262828,0.0705575,0.728392
1564164039542486,-0.263073,0.0705772,0.727857
1564164039565442,-0.263589,0.070987,0.727582
1564164039586402,-0.263589,0.070987,0.727582
1564164039608926,-0.263329,0.0716491,0.727352
1564164039625332,-0.262573,0.0722646,0.727278
1564164039647796,-0.262647,0.0724214,0.727265
1564164039662768,-0.262647,0.0724214,0.727265
1564164039685219,-0.262765,0.0724651,0.727266
1564164039707686,-0.262706,0.0725798,0.727219
1564164039722659,-0.262706,0.0725798,0.727219
1564164039745116,-0.262824,0.0726234,0.72722
1564164039767574,-0.262781,0.0727365,0.727205
1564164039782040,-0.262899,0.0727802,0.727207
1564164039804998,-0.262899,0.0727802,0.727207
1564164039835442,-0.263262,0.0725116,0.72711
1564164039841929,-0.263683,0.0721117,0.726918
1564164039865386,-0.263351,0.0715465,0.726562
1564164039888341,-0.263214,0.0711983,0.726336
1564164039902316,-0.263214,0.0711983,0.726336
1564164039925281,-0.263214,0.0711983,0.726336
1564164039947734,-0.263332,0.0712419,0.726337
1564164039962213,-0.263289,0.071355,0.726323
1564164039985164,-0.262992,0.0710763,0.726081
1564164040007620,-0.262965,0.0711878,0.726099
1564164040022096,-0.262965,0.0711878,0.726099
1564164040045049,-0.262949,0.0711895,0.726066
1564164040067508,-0.262641,0.0713104,0.725925
1564164040081981,-0.262081,0.0710562,0.725699
1564164040111449,-0.261771,0.0711444,0.725273
1564164040127895,-0.26168,0.0710483,0.724909
1564164040148858,-0.261657,0.070711,0.7244
1564164040165327,-0.261661,0.0699891,0.723966
1564164040187788,-0.261176,0.0688055,0.723444
1564164040208751,-0.259908,0.0675378,0.722492
1564164040227212,-0.259032,0.0656496,0.721803
1564164040247675,-0.2578,0.0650353,0.720812
1564164040268635,-0.252467,0.0662259,0.720316
1564164040285103,-0.245411,0.0678371,0.720944
1564164040315049,-0.23852,0.069038,0.722046
1564164040329023,-0.236169,0.0736188,0.723793
1564164040344503,-0.237977,0.0765594,0.725862
1564164040367951,-0.241743,0.0770917,0.726895
1564164040390409,-0.247255,0.074758,0.728003
1564164040404383,-0.256194,0.0689138,0.728373
1564164040427840,-0.261334,0.0627207,0.730106
1564164040448803,-0.259153,0.0577044,0.730412
1564164040464777,-0.253325,0.0541745,0.728721
1564164040487729,-0.247236,0.0534246,0.726827
1564164040508726,-0.243798,0.0537701,0.726443
1564164040531185,-0.244229,0.0547276,0.726477
1564164040547618,-0.244797,0.0570054,0.72518
1564164040570075,-0.241298,0.0599587,0.723881
1564164040585048,-0.236262,0.0620677,0.722499
1564164040608006,-0.234924,0.0631498,0.720685
1564164040630464,-0.238557,0.0614675,0.719327
1564164040645435,-0.243594,0.0588776,0.719024
1564164040667894,-0.244756,0.0557532,0.718866
1564164040690353,-0.240398,0.054333,0.717638
1564164040704825,-0.23558,0.0537694,0.716158
1564164040727790,-0.235696,0.0527298,0.715871
1564164040750241,-0.239742,0.0513987,0.716089
1564164040764720,-0.242387,0.0495843,0.715704
1564164040796661,-0.242601,0.0482228,0.714665
1564164040810129,-0.241979,0.0477244,0.713663
1564164040824604,-0.243206,0.0465093,0.712921
1564164040855045,-0.245505,0.0441642,0.712446
1564164040870019,-0.247619,0.041937,0.711446
1564164040884498,-0.248512,0.0408787,0.71079
1564164040907947,-0.248377,0.0404856,0.710173
1564164040930406,-0.249766,0.0399139,0.709892
1564164040944381,-0.251539,0.0393738,0.709745
1564164040967842,-0.251993,0.0388422,0.709435
1564164040997781,-0.251499,0.0383699,0.709204
